Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
5,7-18-22 12:10 PM,EBOC_25degC,25,-10.17,0.00,37.85,0.01,38.204,0.028,0.079,0.007,93.951,0.166,3.900,0.137,-47.725,2.285,-120.426,2.123
5,7-20-22 11:45 AM,EBOC_hg,1000,-9.98,0.00,41.32,0.01,41.101,0.022,-0.737,0.006,101.432,0.214,3.754,0.183,-34.568,4.372,-114.515,4.022
5,7-21-22 12:57 PM,EBOC_25degC,25,-10.05,0.00,38.20,0.01,38.651,0.028,0.040,0.008,94.885,0.105,3.795,0.086,-36.193,3.241,-110.610,3.000
5,7-22-22 11:56 AM,BOC_hg,1000,-9.84,0.00,-2.33,0.01,-3.233,0.048,-0.784,0.014,7.525,0.178,0.196,0.164,-12.867,3.988,-13.785,4.002
5,7-23-22 3:32 PM,BOC_25degC,25,-10.27,0.00,-1.69,0.01,-2.167,0.026,0.047,0.007,9.148,0.118,0.524,0.112,-11.557,3.298,-13.319,3.305
5,7-25-22 1:10 PM,BOC_25deg,25,-9.96,0.00,37.96,0.01,38.536,0.019,0.073,0.007,94.298,0.144,3.713,0.123,-36.624,3.786,-110.683,3.504
5,7-26-22 2:16 PM,BOC_hg,1000,-9.61,0.00,-1.85,0.00,-2.507,0.023,-0.773,0.007,8.503,0.132,0.208,0.124,-12.925,3.289,-15.021,3.291
5,7-27-22 10:58 AM,BOC_25deg,25,-9.84,0.00,-0.88,0.01,-0.954,0.023,0.015,0.007,10.880,0.136,0.612,0.121,-13.320,3.742,-17.106,3.745
5,7-28-22 11:02 AM,EBOC_hg,1000,-9.77,0.00,41.56,0.01,41.547,0.029,-0.748,0.008,102.298,0.198,4.076,0.171,-37.428,3.170,-117.735,2.913
5,7-29-22 12:44 PM,EBOC_25degC,25,-9.84,0.00,38.41,0.00,39.085,0.029,0.041,0.009,95.544,0.163,3.982,0.144,-34.115,3.988,-109.253,3.681
5,8-1-22 11:19 AM,BOC_25degC,25,-10.16,0.00,-1.70,0.00,-2.068,0.021,0.042,0.007,9.185,0.150,0.571,0.143,-12.019,3.302,-13.882,3.305
5,8-2-22 12:09 PM,EBOC_25degC,25,-9.84,0.00,38.06,0.01,38.749,0.035,0.061,0.012,94.505,0.135,3.702,0.113,-43.355,2.937,-117.180,2.707
5,8-3-22 1:56 PM,BOC_hg,1000,-9.98,0.00,-2.45,0.00,-3.498,0.015,-0.791,0.005,7.302,0.086,0.216,0.084,-13.546,2.666,-14.087,2.669
5,8-4-22 11:34 AM,EBOC_hg,1000,-9.53,0.00,42.04,0.01,42.280,0.019,-0.746,0.006,102.625,0.138,3.452,0.121,-43.223,2.392,-124.062,2.194
5,8-8-22 12:21 PM,BOC_25degC,25,-10.10,0.00,-0.85,0.01,-1.185,0.017,0.016,0.006,10.847,0.100,0.530,0.095,-3.811,3.438,-7.418,3.435
5,8-9-22 11:52 AM,EBOC_25degC,25,-9.73,0.00,38.24,0.00,39.044,0.029,0.062,0.009,94.730,0.108,3.573,0.095,-35.355,2.706,-110.199,2.495
5,8-10-22 12:13 PM,BOC_25degC,25,-9.64,0.00,-1.04,0.00,-0.886,0.019,0.054,0.007,10.476,0.087,0.542,0.089,-8.124,2.514,-11.805,2.504
5,8-11-22 11:29 AM,EBOC_25degC,25,-9.84,0.00,38.19,0.01,38.862,0.035,0.042,0.010,94.470,0.209,3.422,0.180,-35.283,3.923,-109.952,3.628
5,8-12-22 12:12 PM,BOC_hg,1000,-10.36,0.00,-2.63,0.00,-4.031,0.026,-0.784,0.010,6.769,0.108,0.034,0.104,-3.207,3.181,-3.031,3.189
5,8-13-22 1:56 PM,BOC_25degC,25,-9.98,0.00,-0.87,0.00,-1.076,0.024,0.029,0.007,10.871,0.136,0.594,0.130,-7.331,2.671,-11.004,2.668
5,8-14-22 11:31 AM,EBOC_25degC,25,-10.02,0.00,38.13,0.00,38.643,0.014,0.064,0.004,94.221,0.142,3.310,0.129,-38.214,2.451,-112.395,2.260
5,8-15-22 11:35 AM,BOC_25degC,25,-9.56,0.00,-0.03,0.00,0.192,0.018,0.025,0.006,12.561,0.088,0.568,0.085,-5.086,3.263,-10.867,3.246
5,8-16-22 11:26 AM,EBOC_hg,1000,-9.89,0.00,40.93,0.00,40.795,0.020,-0.736,0.007,99.983,0.169,3.189,0.149,-36.512,2.475,-115.713,2.273
5,8-17-22 11:14 AM,BOC_hg,1000,-9.30,0.00,-1.88,0.00,-2.223,0.020,-0.758,0.007,8.368,0.118,0.123,0.116,-5.825,2.637,-8.190,2.635
5,8-18-22 12:57 PM,EBOC_25degc,25,-9.84,0.00,37.97,0.00,38.664,0.023,0.070,0.008,93.906,0.156,3.338,0.140,-36.018,2.718,-110.247,2.507
5,8-19-22 1:38 PM,BOC_25degc,25,-10.27,0.00,-1.21,0.00,-1.678,0.009,0.046,0.003,10.036,0.075,0.443,0.075,-5.189,2.843,-7.918,2.836
5,8-22-22 12:11 PM,EBOC_25degC,25,-10.03,0.00,38.54,0.00,39.018,0.021,0.032,0.007,95.232,0.173,3.455,0.155,-36.119,3.474,-111.151,3.202
5,8-23-22 1:15 PM,BOC_25degC,25,-9.89,0.00,-1.36,0.00,-1.451,0.013,0.052,0.004,9.744,0.092,0.449,0.090,-6.671,4.252,-9.483,4.242
5,8-24-22 11:31 AM,EBOC_hg,1000,-9.51,0.00,42.08,0.00,42.332,0.025,-0.747,0.008,102.402,0.126,3.178,0.110,-40.227,1.435,-121.396,1.314
5,8-25-22 11:52 AM,EBOC_25degC,25,-10.16,0.00,37.98,0.00,38.355,0.019,0.067,0.006,93.966,0.120,3.364,0.107,-35.346,4.137,-109.368,3.822
5,8-26-22 11:43 AM,BOC_25degC,25,-9.07,0.00,-0.68,0.00,0.019,0.022,0.032,0.008,11.254,0.116,0.571,0.114,-8.770,2.909,-13.741,2.900
5,8-27-22 9:23 AM,EBOC_25degC,25,-9.74,0.00,38.19,0.00,38.975,0.025,0.054,0.008,94.351,0.150,3.318,0.136,-38.522,2.929,-113.027,2.703
5,8-29-22 1:32 PM,BOC_25degC,25,-9.66,0.00,1.44,0.01,1.562,0.022,-0.003,0.006,15.536,0.139,0.580,0.127,-7.131,3.282,-15.691,3.264
5,8-30-22 12:15 PM,BOC_hg,1000,-9.51,0.00,-3.96,0.01,-4.558,0.027,-0.770,0.007,4.020,0.050,-0.027,0.052,-4.913,2.541,-2.915,2.551
5,8-31-22 12:11 PM,EBOC_25degC,25,-9.79,0.00,38.38,0.00,39.110,0.020,0.046,0.006,94.631,0.120,3.203,0.105,-42.791,2.823,-117.247,2.606
5,9-1-22 11:24 AM,BOC_25degC,25,-9.47,0.00,-0.57,0.01,-0.251,0.021,0.038,0.009,11.358,0.106,0.464,0.096,-7.186,2.965,-11.981,2.964
5,9-2-22 1:35 PM,EBOC_25degC,25,-9.63,0.00,37.96,0.00,38.866,0.020,0.069,0.006,93.797,0.132,3.257,0.124,-39.921,4.494,-114.021,4.150
5,9-4-22 10:48 AM,BOC_25degC,25,-9.67,0.00,-0.49,0.00,-0.390,0.014,0.016,0.005,11.587,0.087,0.522,0.087,-7.507,2.652,-12.261,2.642
5,9-5-22 11:58 AM,EBOC_25degC,25,-10.02,0.00,38.22,0.01,38.734,0.022,0.061,0.006,94.203,0.144,3.113,0.118,-38.755,3.307,-113.053,3.059
5,9-6-22 12:03 PM,EBOC_hg,1000,-9.67,0.00,37.50,0.00,37.514,0.020,-0.747,0.007,92.267,0.151,2.737,0.134,-39.335,3.585,-112.664,3.313
5,9-7-22 12:17 PM,BOC_25degC,25,-9.89,0.00,-0.87,0.00,-0.985,0.022,0.023,0.007,10.774,0.070,0.490,0.063,-7.213,2.973,-10.990,2.970
5,9-8-22 10:35 AM,BOC_hg,1000,-10.28,0.00,-2.62,0.00,-3.934,0.026,-0.760,0.008,6.747,0.137,0.008,0.132,-4.368,4.696,-4.271,4.703
5,9-9-22 12:30 PM,EBOC_25degC,25,-10.06,0.00,37.89,0.00,38.361,0.026,0.066,0.008,93.346,0.151,2.965,0.133,-43.971,3.806,-117.267,3.510
5,9-12-22 12:21 PM,BOC_25degC,25,-9.86,0.00,-0.78,0.00,-0.852,0.033,0.033,0.011,10.813,0.098,0.349,0.100,-3.499,3.478,-7.502,3.466
5,9-13-22 1:58 PM,EBOC_25degC,25,-9.55,0.00,38.40,0.00,39.375,0.025,0.045,0.009,94.518,0.149,3.053,0.132,-45.827,3.489,-120.298,3.216
5,9-14-22 12:22 PM,EBOC_hg,1000,-9.89,0.00,37.16,0.00,36.943,0.016,-0.745,0.006,91.351,0.116,2.559,0.103,-40.795,2.304,-113.229,2.131
5,9-15-22 11:45 AM,BOC_hg,1000,-9.52,0.00,-2.49,0.00,-3.063,0.022,-0.770,0.007,7.013,0.134,-0.005,0.136,-5.415,3.217,-6.356,3.215
5,9-16-22 11:37 AM,BOC_25degC,25,-9.74,0.00,-0.89,0.00,-0.835,0.012,0.047,0.004,10.704,0.105,0.460,0.104,-8.102,1.841,-11.986,1.832
5,9-19-22 11:21 AM,EBOC_25degC,25,-9.48,0.00,37.98,0.00,39.028,0.012,0.056,0.004,93.425,0.109,2.874,0.096,-46.753,3.824,-120.497,3.528
5,9-20-22 11:21 AM,BOC_25degC,25,-9.78,0.00,-1.03,0.00,-1.031,0.019,0.027,0.006,10.413,0.088,0.445,0.081,-11.656,3.885,-15.219,3.874
5,9-21-22 12:51 PM,EBOG_hg,1000,-10.27,0.00,29.86,0.00,37.731,0.014,-0.747,0.005,93.612,0.116,2.401,0.101,-49.770,5.748,-123.143,5.299
5,9-22-22 11:00 AM,EBOC_25degC,25,-9.66,0.00,-0.71,0.00,-0.582,0.018,0.033,0.005,11.029,0.084,0.413,0.082,-7.170,1.881,-11.503,1.875
5,9-23-22 11:32 AM,BOC_25degC,25,-9.37,0.00,0.47,0.00,0.889,0.013,0.026,0.004,13.404,0.070,0.414,0.069,-5.955,2.627,-12.904,2.605
5,9-24-22 12:29 PM,EBOC_25degC,25,-10.01,0.00,38.27,0.00,38.784,0.019,0.051,0.006,93.760,0.097,2.615,0.087,-59.491,5.497,-132.276,5.066
5,9-25-22 12:23 PM,BOC_25degC,25,-9.73,0.00,-0.83,0.00,-0.781,0.020,0.036,0.007,10.614,0.065,0.255,0.067,-5.128,2.217,-9.144,2.204
5,9-26-22 11:38 AM,EBOC_hg,1000,-9.70,0.00,-2.87,0.00,-3.610,0.018,-0.753,0.006,6.156,0.079,-0.083,0.081,-5.311,2.621,-5.305,2.617
5,9-27-22 2:18 PM,EBOC_25degC,25,-9.77,0.00,38.13,0.00,38.905,0.014,0.066,0.005,93.399,0.090,2.553,0.084,-58.546,3.486,-131.385,3.209
5,9-28-22 11:05 AM,BOC_hg,1000,-10.00,0.00,-3.43,0.00,-4.479,0.019,-0.766,0.007,5.015,0.093,-0.102,0.100,-3.720,3.454,-2.301,3.451
6,10-11-22 11:18 AM,BOC_25degC,25,-9.26,0.00,0.86,0.00,1.393,0.019,0.025,0.006,14.206,0.068,0.416,0.069,-14.320,2.528,-22.086,2.511
6,10-12-22 10:59 AM,BOC_hg,1000,-10.03,0.00,-3.58,0.00,-4.700,0.027,-0.801,0.009,4.747,0.060,-0.060,0.059,-6.596,1.913,-4.843,1.915
6,10-13-22 11:32 AM,EBOC_25degC,25,-9.79,0.00,38.10,0.00,38.864,0.019,0.082,0.007,93.119,0.063,2.365,0.055,-65.417,3.304,-137.647,3.043
6,10-17-22 12:47 PM,EBOC_hg,1000,-10.12,0.00,38.34,0.00,37.894,0.025,-0.769,0.008,93.414,0.051,2.165,0.046,-57.115,1.480,-130.105,1.364
6,10-18-22 12:55 PM,EBOC_25degC,25,-9.67,0.00,38.21,0.01,39.081,0.033,0.067,0.010,93.600,0.077,2.588,0.061,-65.600,3.802,-138.103,3.499
6,10-19-22 11:31 AM,BOC_hg,1000,-9.99,0.00,-2.97,0.00,-4.041,0.021,-0.798,0.007,5.995,0.088,-0.044,0.090,-9.712,2.770,-9.217,2.771
6,10-20-22 11:12 AM,EBOC_hg,1000,-9.87,0.00,41.49,0.00,41.353,0.012,-0.765,0.004,100.378,0.120,2.472,0.110,-59.243,3.306,-137.519,3.026
6,10-21-22 12:06 PM,BOC_25degC,25,-9.95,0.00,-1.01,0.00,-1.173,0.032,0.037,0.010,10.397,0.078,0.395,0.079,-14.308,3.833,-17.724,3.818
6,10-26-22 11:13 AM,BOC_25degC,25,-10.17,0.00,-1.10,0.00,-1.491,0.029,0.032,0.010,10.240,0.086,0.426,0.089,-12.623,2.390,-15.639,2.383
6,10-27-22 11:17 AM,EBOC_25degC,25,-9.86,0.00,37.07,0.00,37.704,0.027,0.047,0.009,91.442,0.108,2.811,0.099,-50.138,2.537,-121.743,2.342
6,10-28-22 11:17 AM,BOC_25degC,25,-9.81,0.00,-0.45,0.00,-0.465,0.020,0.037,0.007,11.608,0.068,0.466,0.070,-9.775,2.720,-14.457,2.709
6,11-2-22 11:36 AM,EBOC_hg,1000,-10.28,0.00,41.64,0.00,41.087,0.019,-0.772,0.006,101.156,0.111,2.881,0.096,-48.630,2.549,-127.688,2.339
6,11-4-22 12:08 PM,EBOC_25degC,25,-10.30,0.00,37.83,0.01,38.047,0.024,0.065,0.008,93.282,0.152,3.040,0.133,-51.320,2.564,-123.724,2.361
6,11-7-22 11:53 AM,EBOC_hg,1000,-10.17,0.00,44.98,0.00,44.575,0.022,-0.792,0.007,108.583,0.084,3.220,0.077,-44.785,3.110,-129.842,2.835
6,11-8-22 1:18 PM,BOC_25degC,25,-10.40,0.00,-1.58,0.00,-2.177,0.024,0.047,0.008,9.351,0.106,0.494,0.107,-13.756,1.990,-15.612,1.988
6,11-9-22 11:17 AM,BOC_hg,1000,-10.07,0.00,-1.27,0.00,-2.399,0.021,-0.802,0.007,9.515,0.050,0.053,0.053,-4.172,2.796,-6.974,2.788
6,11-10-22 12:19 PM,EBOC_hg,1000,-10.27,0.00,43.27,0.00,42.762,0.027,-0.762,0.009,104.857,0.053,3.124,0.049,-43.389,2.385,-125.622,2.181
6,11-11-22 11:13 AM,BOC_hg,1000,-10.01,0.00,-1.20,0.00,-2.248,0.022,-0.786,0.008,9.711,0.093,0.098,0.091,-3.287,2.755,-6.301,2.747
6,11-12-22 5:13 PM,BOC_hg,1000,-10.35,0.00,-1.74,0.00,-3.139,0.029,-0.793,0.010,8.623,0.115,0.102,0.114,-4.669,2.628,-6.259,2.623
6,11-12-22 9:46 PM,EBOC_hg,1000,-10.18,0.00,45.06,0.00,44.665,0.031,-0.771,0.010,108.797,0.093,3.257,0.083,-44.671,2.597,-129.861,2.367
7,1-16-23 11:40 AM,BOC_25degC,25,-10.44,0.00,-1.68,0.00,-2.297,0.024,0.073,0.008,9.410,0.062,0.761,0.057,-31.973,3.263,-33.553,3.265
7,1-17-23 11:05 AM,EBOC_25degC,25,-10.66,0.00,37.09,0.00,36.967,0.018,0.093,0.005,92.008,0.107,3.299,0.098,-47.005,3.480,-118.170,3.225
7,1-18-23 11:55 AM,BOC_hg,1000,-10.17,0.00,-1.32,0.00,-2.517,0.025,-0.784,0.009,9.457,0.131,0.083,0.130,-4.952,2.152,-7.570,2.150
7,1-19-23 10:46 AM,EBOC_hg,1000,-10.17,0.00,43.14,0.01,42.736,0.020,-0.763,0.007,104.757,0.106,3.277,0.092,-39.988,2.032,-122.390,1.862
7,1-23-23 12:10 PM,BOC_25degC,25,-10.57,0.00,-1.56,0.00,-2.321,0.015,0.055,0.005,9.404,0.124,0.523,0.118,-19.917,4.350,-21.619,4.352
7,1-24-23 10:59 AM,EBOC_25degC,25,-10.49,0.00,37.74,0.01,37.779,0.016,0.074,0.005,93.605,0.082,3.508,0.069,-58.967,2.511,-130.476,2.320
7,1-25-23 11:48 AM,BOC_hg,1000,-10.21,0.00,-1.39,0.00,-2.633,0.012,-0.792,0.004,9.379,0.085,0.143,0.080,-7.513,2.791,-9.949,2.788
7,1-26-23 11:27 AM,EBOC_hg,1000,-10.27,0.00,42.89,0.00,42.383,0.016,-0.756,0.004,104.304,0.172,3.350,0.150,-42.251,3.436,-123.945,3.151
7,1-27-23 10:29 AM,BOC_25degC,25,-10.34,0.00,-1.19,0.00,-1.723,0.023,0.042,0.007,10.103,0.072,0.461,0.068,-13.617,3.271,-16.303,3.269
7,1-31-23 11:18 AM,EBOC_25degC,25,-10.61,0.00,37.48,0.01,37.396,0.025,0.080,0.007,93.081,0.144,3.528,0.124,-53.286,3.396,-124.680,3.142
7,2-2-23 11:48 AM,BOC_hg,1000,-10.35,0.00,-1.54,0.00,-2.909,0.022,-0.772,0.007,9.053,0.083,0.125,0.077,-5.485,2.681,-7.479,2.679
7,2-3-23 2:57 PM,BOC_25degC,25,-10.31,0.00,-1.10,0.00,-1.624,0.021,0.031,0.006,10.429,0.073,0.612,0.073,-17.111,1.575,-19.980,1.574
7,2-6-23 2:14 PM,EBOC_25degC,25,-10.37,0.00,37.73,0.01,37.883,0.027,0.067,0.010,93.716,0.128,3.616,0.122,-60.719,3.088,-132.190,2.855
7,2-7-23 1:00 PM,BOC_25degC,25,-10.58,0.00,-1.81,0.00,-2.583,0.015,0.053,0.004,8.859,0.088,0.469,0.080,-14.344,3.530,-15.563,3.536
7,2-8-23 10:39 AM,EBOC_hg,1000,-10.06,0.00,42.09,0.00,41.775,0.029,-0.759,0.009,102.587,0.138,3.329,0.125,-44.574,2.685,-124.909,2.464
7,2-10-23 10:29 AM,BOC_hg,1000,-10.26,0.00,-1.74,0.01,-3.047,0.025,-0.793,0.007,8.638,0.118,0.122,0.111,-6.041,3.110,-7.721,3.117
7,2-13-23 11:13 AM,EBOC_25degC,25,-10.44,0.00,37.53,0.00,37.633,0.021,0.081,0.007,93.301,0.133,3.620,0.124,-59.194,4.233,-130.393,3.909
7,2-14-23 11:09 AM,BOC_25degC,25,-10.42,0.00,-1.40,0.00,-2.012,0.029,0.051,0.009,9.851,0.056,0.638,0.054,-19.635,2.632,-21.806,2.631
7,2-18-23 11:44 AM,BOC_hg,1000,-10.61,0.00,-2.18,0.00,-3.818,0.013,-0.775,0.005,7.700,0.119,0.073,0.115,-4.750,2.873,-5.204,2.878
7,2-21-23 11:36 AM,EBOC_hg,1000,-10.31,0.00,42.78,0.01,42.231,0.015,-0.754,0.005,104.118,0.093,3.386,0.078,-42.526,3.353,-123.978,3.077
7,2-22-23 10:50 AM,EBOC_25degC,25,-10.48,0.00,37.67,0.01,37.725,0.024,0.081,0.007,93.563,0.138,3.594,0.116,-53.360,2.495,-125.192,2.317
7,2-23-23 12:02 PM,BOC_25degC,25,-10.43,0.00,-1.39,0.01,-2.017,0.030,0.054,0.008,9.972,0.128,0.741,0.114,-26.106,4.312,-28.263,4.319
7,3-2-23 11:39 AM,EBOC_25degC,25,-10.49,0.00,37.64,0.01,37.687,0.024,0.084,0.007,93.311,0.114,3.426,0.098,-60.091,2.197,-131.350,2.034
7,3-3-23 10:07 AM,BOC_25degC,25,-10.51,0.00,-1.60,0.00,-2.314,0.023,0.046,0.008,9.467,0.124,0.662,0.122,-21.068,2.303,-22.747,2.304
7,3-4-23 11:03 AM,EBOC_25degC,25,-10.09,0.00,37.41,0.00,37.852,0.029,0.075,0.009,92.845,0.099,3.442,0.091,-46.634,3.424,-118.882,3.167
7,3-6-23 11:09 AM,BOC_hg,1000,-10.21,0.00,-1.64,0.00,-2.886,0.025,-0.782,0.007,8.876,0.125,0.144,0.119,-7.211,3.343,-9.143,3.345
7,3-8-23 11:05 AM,BOC_25degC,25,-10.43,0.00,-1.59,0.01,-2.208,0.034,0.062,0.010,9.430,0.107,0.599,0.098,-17.713,4.582,-19.503,4.588
7,3-10-23 10:34 AM,EBOC_hg,1000,-10.17,0.00,42.22,0.01,41.830,0.028,-0.733,0.009,102.943,0.111,3.391,0.094,-43.720,3.369,-124.260,3.093
7,3-13-23 11:40 AM,BOC_hg,1000,-9.80,0.00,-1.22,0.00,-2.047,0.019,-0.778,0.007,9.747,0.105,0.162,0.100,-7.273,3.484,-10.458,3.482
7,3-14-23 12:35 PM,EBOC_25degC,25,-10.19,0.00,37.80,0.00,38.140,0.028,0.075,0.008,93.754,0.072,3.527,0.064,-55.203,4.773,-127.360,4.411
7,3-15-23 11:20 AM,BOC_25degC,25,-10.21,0.00,-1.25,0.00,-1.642,0.019,0.062,0.005,10.157,0.100,0.641,0.097,-21.279,3.283,-23.948,3.283
7,3-16-23 12:25 PM,EBOC_hg,1000,-10.09,0.00,41.90,0.01,41.577,0.027,-0.737,0.008,102.143,0.099,3.284,0.086,-44.060,3.590,-124.097,3.297
7,3-17-23 11:24 AM,EBOC_25degC,25,-10.38,0.00,37.38,0.01,37.523,0.031,0.073,0.008,92.701,0.147,3.373,0.121,-51.108,4.564,-122.705,4.233
