DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
10,2.797879081,0.065907652,-0.526588714,0.177150916,53.50427786,17.61284195,28.88288018,2.609014493,1.06961789,4.17354665,,,,,,,8.869236887,280.6329368,40328.91065,3.480768856,558.8754432,,993.2358955,96.51923114,333.4741302,955.2825495,,5718.801052,0.831517898,9.189650129,290.7594949,41771.68146,36.06401059,579.0309872,,1029.771314,345.5034481,989.4569579,,5924.983053,0.861485792,254.5227179,8064.282753,1168853.145,16067.95015,,27995.49117,27.75220615,9585.878277,27687.6815,,164476.2528,23.92359876
15,2.931167734,0.082225176,-0.296488279,0.220772116,55.99946017,15.83410216,28.16643768,3.144967754,1.597814436,4.670940031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.008384272,0.065579485,-0.221751122,0.189142961,54.74990733,16.43168927,28.8184034,4.397056722,1.727429175,8.210342168,,,,,,,7.887293185,284.2463807,38822.48271,3.343910965,210.697138,,846.4412911,96.65608903,283.2277457,989.9236882,,6138.407168,0.929771971,8.157496657,294.0841752,40171.04553,34.59629959,217.9631127,,875.9197772,293.0269682,1024.255019,,6350.787798,0.961932992,238.1209647,8499.436631,1156866.095,6321.788262,,25157.08451,28.91302986,8471.718216,29544.44605,,183606.7996,27.8170579
25,2.795560045,0.068720486,-0.367859753,0.143956025,54.42057102,15.41040446,30.16902452,6.923107425,2.280903708,12.13882727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.238016664,0.085733058,-0.122866008,0.148115024,46.81156433,15.9025956,37.28584007,7.934773454,3.753505513,12.488174,,,,,,,7.880910334,254.4603777,47130.60362,3.158204349,130.5434497,148.4947807,934.9734804,96.84179565,256.98487,987.4239915,,4906.57381,0.689280181,8.136216662,262.7658441,48660.54898,32.61371739,134.8021226,153.5514093,966.2834233,265.3701383,1019.590761,,5066.513015,0.711761209,251.3581698,8063.796646,1502574.376,4137.911831,4509.246108,28862.61403,30.71401808,8146.174181,31372.36327,,155687.8362,21.85944129
35,1.465135911,0.0366628,0.164037131,0.151336448,33.57885586,13.40025819,53.02088595,9.33339723,4.809675132,13.92931895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.447029843,0.037819104,0.555859034,0.060736046,39.53563901,19.10285118,41.36150981,11.77475464,5.040133651,42.62813187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.188764825,0.092591128,0.31185915,0.606739799,54.39486502,26.37342859,19.23170639,15.56640556,5.653727022,58.60267107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.615378957,0.06768557,1.708061132,0.197191977,21.23448584,12.85756217,65.90795198,19.9302909,6.116482944,64.96678717,,,,,,,20.30394644,196.8579338,62644.67181,3.667679022,796.4968103,982.2591823,1490.657225,96.33232098,574.5321738,691.3529782,,3203.682959,0.324400964,21.07744656,204.3583405,65029.73687,38.07369228,826.828264,1019.672837,1547.429587,596.4131868,717.6676189,,3325.703979,0.33676367,553.461755,5365.497033,1708620.447,21719.79924,26779.74462,40644.46158,26.27425419,15665.48421,18861.46426,,87347.0221,8.839814062
55,1.750930714,0.079998633,1.712181377,0.161398692,,,,24.30026172,6.617996911,69.4510346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
