DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
140,1.745047572,0.073582395,1.36389147,0.108911207,20.6400613,16.68248994,62.67744876,,,,,,,17.60601723,199.3457425,54705.7455,4.070479621,300.7670587,1152.993411,1191.067154,95.92952038,1280.218861,751.5325169,,3295.344584,0.485991942,18.35303234,207.8056498,57026.62687,42.43270577,313.53092,1201.935265,1241.638625,1334.542932,783.4190827,,3435.21371,0.506617767,432.7273359,4898.616825,1344721.769,7391.002152,28327.10557,29255.02518,23.57661516,31462.93448,18471.78812,,80966.89112,11.94188559
145,1.574939641,0.078209659,1.556444689,0.20148631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1.680630755,0.066765,1.363677754,0.262329384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1.706671523,0.045976543,1.317085739,0.149039524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1.853916988,0.046265517,1.119556006,0.134031578,32.09350403,16.48643143,51.42006454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2.063327879,0.102645192,1.058940344,0.17312719,29.88301966,18.12842138,51.98855896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2.080598248,0.057756281,1.114273488,0.105510399,31.49376821,17.22467598,51.28155581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2.731272301,0.032340999,0.109911873,0.085384401,51.84792162,18.95268184,29.19939654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1.887763856,0.044125632,2.875762696,0.23576665,13.7142055,0,86.2857945,,,,,,,,120.8536367,,2.691730313,393.1074101,,1163.996561,97.30826969,1135.631574,1418.262352,,2400.420505,0.543028492,,124.4112917,,27.66799007,404.1701045,,1198.262517,1166.975905,1458.293962,,2466.765337,0.559013054,,4226.262683,,14464.34146,,40704.42305,36.46145144,42649.83301,52016.49571,,90021.60902,18.99085962
185,1.70372717,0.049069315,2.58075575,0.130600809,15.02041601,0,84.97958399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
