DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
10,3.194019193,0.107094496,-1.214849556,0.217102537,57.84584624,20.95343597,21.20071779,3.436500093,3.198779259,3.671851809,,,,,-1.275059557,0.109359899,14.24804147,304.1772327,42351.5504,4.031495265,499.8568615,646.0760625,996.9828625,95.96850473,245.3862544,907.3952837,,6251.122016,1.026444555,14.85103822,316.9601565,44143.9264,42.00861819,520.8501959,673.2057909,1038.853972,255.6950868,945.5622146,,6513.745999,1.069583706,350.9110234,7542.654604,1043064.475,12402.24046,16032.78922,24737.21524,23.80595878,6086.760838,22481.32044,,155052.0493,25.45081494
15,3.55590083,0.142681195,-1.053181931,0.069523306,64.99392709,18.79672777,16.20934514,3.543561883,3.339545266,3.769278567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.632981122,0.033893242,-0.697811463,0.109994652,66.35315376,14.19575255,19.45109368,6.852893569,6.377853228,7.354500412,6.43,0.025,6.87,0.122,-1.2188921,0.043351382,14.80865026,270.4254764,44269.46127,2.722781239,373.1675716,656.6774391,985.4177657,97.27721876,433.147125,796.2602646,,7670.836012,1.300843985,15.22314504,277.9943271,45508.53248,27.98992433,383.6133697,675.0585462,1013.000715,445.270836,818.5545946,,7885.544418,1.337254947,543.8825343,9932.485187,1625942.412,13704.40777,24117.15906,36190.42715,35.72750562,15908.47001,29235.61831,,281727.7449,47.77619832
25,3.574169783,0.065715125,-0.625928169,0.13521468,67.65409233,12.52713742,19.81877026,7.018359396,6.535017528,7.515034687,,,,,,,,298.8021944,49374.03397,2.805557399,228.7568305,,1160.436505,97.1944426,324.1723555,353.5972711,,6926.69572,1.031667172,,260.7055035,49464.68435,28.86626137,259.3908546,648.3812062,1176.258318,296.7281334,927.5989061,2.944905378,7207.841194,1.059431948,,10669.74754,1761576.027,8151.594467,,41394.69176,34.67899041,11550.10103,12689.04736,,247169.2495,36.7657133
30,3.057508985,0.029932306,-0.745715617,0.222801247,60.70720997,16.36125728,22.93153275,7.448598942,6.576772772,9.947970029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.633759318,0.072050687,-3.23E-06,0.161643706,48.25541551,19.83618311,31.90840139,8.36002051,6.697531476,12.52223123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.439603324,0.073558842,-0.642855873,0.11324465,47.24536185,17.83290049,34.92173766,8.938155631,6.880771009,12.98518438,,,,,,,15.6708241,254.2022257,44983.50153,4.074152619,120.451806,871.5736501,835.0901516,95.92584738,409.1224607,777.2285065,,4645.32025,0.931970579,16.35368648,265.0214104,46943.67547,42.47306169,125.5552409,908.567727,870.5848052,426.4969361,810.6090302,,4842.834154,0.971632477,375.2963292,6230.812331,1077297.715,2965.267201,21419.52078,20495.66398,23.56020525,10049.35646,18884.06555,,113971.9042,22.84598045
45,1.44002001,0.06809943,0.044369475,0.165560782,36.4186211,18.51942702,45.06195189,10.40005078,7.51026008,14.44264895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.14686253,0.056211407,0.485823759,0.273619635,40.47314629,18.03213234,41.49472137,27.99343787,8.175003871,29.54231701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.814150723,0.037156228,0.871165969,0.206357033,50.40214829,16.31162296,33.28622875,28.82283452,27.97063428,29.69357543,25.3,0.19,28.83,0.217,,,14.60839804,173.1242411,35905.92508,4.206264689,121.4438771,837.7763758,839.5525917,95.79373531,787.2976028,490.2419607,,3271.053022,0.429837234,15.25921672,180.7316972,37505.56979,43.90999453,126.7774983,874.5407563,876.4210094,821.8771144,511.9190787,,3414.749976,0.448731146,342.511239,4113.781234,841857.0503,2887.249255,19932.85126,19961.57706,22.77871268,18716.11035,11579.1996,,77747.69288,10.21072454
60,2.006735418,0.076567006,0.841263268,0.506022902,,,,29.12949328,28.25242527,29.9482609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.823456803,0.059366618,0.457667127,0.168118625,38.58048274,18.13340711,43.28611016,29.99007256,28.31792856,34.67389217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.066437377,0.112725352,0.150352915,0.533866989,,,,31.44390953,28.48822477,36.43654852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1.934478896,0.038138386,0.389439825,0.081634848,38.74230535,16.7682485,44.48944614,32.9639449,28.72991641,37.13948762,,,,,,,14.78207635,202.4023844,31048.13478,3.689011049,160.3654663,720.1961461,802.6930006,96.31098895,616.9071888,937.4557402,,3987.023297,0.566197154,15.34757358,210.1543025,32235.89986,38.30311887,166.5081604,747.7835378,833.4389611,640.5367253,973.3503959,,4139.736111,0.587882027,401.1850014,5487.131611,842645.221,4346.984895,19521.65776,21758.84574,26.10757475,16722.81201,25420.89175,,108080.3128,15.34976107
80,2.585442735,0.028766289,0.614789091,0.120715326,,,,34.49280131,29.01130928,37.84637167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2.274096495,0.047847339,0.901726159,0.204125218,,,,36.30496561,29.60137899,39.20317957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2.291368349,0.038875749,0.951416533,0.20361655,,,,36.64330602,33.56704121,39.30347209,33.6,0.75,37.74,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2.245686563,0.061435818,0.906666176,0.224359381,,,,37.60062647,35.18150146,39.98182892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.050250571,0.044956175,0.613491247,0.197263008,35.45462295,16.24626458,48.29911247,38.52283027,36.03794525,41.24955331,33.7,0.54,37.83,0.744,-1.067608752,0.117175682,14.81078375,185.9306944,46569.10885,4.001500158,240.6847906,768.0781432,1048.355709,95.99849984,632.4467621,1037.822677,,3794.98729,0.578223937,15.42824601,193.6808858,48510.63104,41.68310239,250.7190856,800.0931582,1092.052945,658.8095837,1081.105942,,3953.185409,0.602332235,370.1034417,4646.920662,1163673.705,6014.352546,19196.93087,26202.22178,23.99281712,15806.3562,25924.44051,,94840.93456,14.44789149
105,3.263592567,0.044318869,0.352061237,0.130706034,,,,39.38244637,36.89437514,42.07293591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2.669362391,0.103077613,0.375229021,0.25987882,,,,44.65459449,37.28700349,74.37742714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2.986253932,0.054553461,0.478050345,0.173088868,,,,54.67331849,38.03151598,87.1390898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,3.577309933,0.057795386,0.43731506,0.160913842,72.06788911,17.31542685,10.61668404,65.08396903,38.83838933,94.27435969,,,,,,,11.91858719,252.2738449,23894.38037,3.347448815,3.606002801,356.067407,517.2112758,96.65255118,193.3911976,955.0667124,,7039.05063,1.091976357,12.3207747,260.9991329,24700.68579,34.63460381,3.734104771,368.4374283,535.1208832,200.0914986,987.9980657,,7282.787848,1.129726307,365.1188141,7551.061775,731990.1,105.1130778,10612.03932,15463.61751,28.89193798,5778.941192,28671.42457,,210458.8404,32.69986575
125,3.831461565,0.175135915,0.039356297,0.121622868,,,,75.21470929,40.17261907,100.772922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2.941122655,0.05308452,0.338450311,0.198298357,39.77894777,24.23245806,35.98859417,85.24181971,43.4432363,106.4066542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,3.762172412,0.051091444,0.92209118,0.234785014,,,,95.09692478,49.9075675,110.4551192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2.866268138,0.060705478,0.483311511,0.185777704,42.45499092,22.5886446,34.95636448,105.0061905,58.0468227,113.4375304,,,,,,,13.15515672,225.0503703,36280.45224,3.932565615,91.04815207,703.0172937,696.5187182,96.06743439,279.5059624,930.6928658,,5237.7018,0.961381453,13.68750288,234.2576883,37748.60346,40.93568165,94.77787519,731.8167743,725.035035,290.9495165,968.7058581,,5452.056873,1.000705623,338.2409036,5726.57646,932830.6158,2313.961155,17866.4491,17711.40868,24.43177232,7107.265485,23720.23088,,133236.1615,24.46791785
145,3.187103678,0.154635251,-0.185967467,0.07655699,,,,115.3250226,70.01978203,117.6801382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2.833055144,0.053411116,0.264826748,0.226067815,,,,115.5028457,113.2511797,117.7361698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,3.180430201,0.110884048,-0.231569226,0.158715494,,,,115.9606078,113.6057518,118.090015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,3.37912575,0.104698939,-0.031735974,0.096283607,60.01986952,18.73176591,21.24836457,116.307138,113.6616628,122.0885885,,,,,,,13.83920551,231.7318884,28660.28684,3.764491221,63.07395931,504.6812013,637.0451419,96.23550878,210.6461404,857.3981329,,6392.544345,1.113826197,14.3757813,240.7943421,29771.50786,39.1176014,65.54381368,524.436619,661.9618995,218.8858111,890.8812765,,6642.546508,1.157377049,370.7759389,6157.704569,767858.0074,1673.950466,13398.50427,16925.6074,25.56593343,5596.208055,22814.32175,,169862.3625,29.60248388
