DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
4,3.638330946,0.07088441,-0.707311671,0.127930178,52.7351698,25.1129969,22.1518333,0.347291086,0.329698601,0.364122017,,,,,,,13.14370924,380.9917955,36569.55342,3.851282339,546.4945217,7045.691298,1672.450824,96.14871766,324.6495848,3601.441493,6.845130301,7165.479663,1.068596042,13.64761239,396.3271225,38037.47687,40.05801285,568.4316652,7324.339085,1740.617904,337.6921785,3749.661038,7.132643778,7453.747839,1.111436947,355.981597,9862.197459,949120.6239,14185.21376,185204.8666,42770.19739,25.00434705,8419.13928,91248.00537,169.9015911,185581.4624,27.76712326
10,3.252484388,0.031958472,-0.261114023,0.201661057,58.79673038,20.23354613,20.96972349,0.354723563,0.339900901,0.3709669,,,,,-1.251085401,0.082245403,12.40185686,322.9191248,39151.48791,3.523325154,274.2833168,524.331837,782.2762881,96.47667485,445.5289047,986.0267202,,6729.826186,1.07611467,12.8550727,334.7166514,40581.0819,36.52016002,284.3061373,543.4845018,810.8445725,461.8005308,1022.025863,,6975.649854,1.115419573,351.8181655,9163.098014,1111530.653,7781.401094,14880.80551,22206.28429,27.38620641,12646.24613,27997.58988,,190997.2364,30.54304643
15,3.582170685,0.081550999,-0.52008204,0.048880533,59.13253978,22.34414143,18.52331879,0.926302453,0.351880179,2.855883189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.367098472,0.052015679,-0.65270769,0.264575706,60.86020804,21.60138759,17.53840437,1.869988196,0.361432831,3.503750039,,,,,,,13.08874668,370.5765291,54167.39454,3.522695888,352.4092542,668.2942226,1788.556623,96.47730411,397.7907105,3174.515407,9.002467748,7346.855991,1.393941873,13.5608613,384.1414187,56148.00183,36.51429437,365.354002,692.3997753,1854.996476,412.3429154,3293.405966,9.343345032,7615.928286,1.44489915,375.9567504,10503.29488,1536857.102,9954.268949,19195.85812,49977.10918,27.40932982,11280.98071,87989.57252,246.790213,208125.0377,39.55751842
25,3.323048953,0.057676573,-0.266150652,0.122149637,61.47987019,16.86719724,21.65293257,2.706387395,0.389977463,3.699670647,,,,,,,13.98929327,382.1063185,57359.80888,3.457123641,316.0033999,689.8748289,2034.402976,96.54287636,307.9408462,3320.124818,8.370434703,7501.665314,1.361617351,14.48327515,395.8270746,59411.64562,35.81053659,327.3819567,714.2352926,2108.581235,318.987051,3442.226497,8.682670568,7771.28469,1.41041017,410.1583243,11035.27178,1662591.142,9101.193168,20226.74759,57891.75337,27.95429224,8901.926961,93677.14897,232.8095013,216454.9759,39.39914188
30,3.853901054,0.109318377,-0.21122393,0.243953936,,,,3.561064105,0.564420624,4.116084191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.221123314,0.078013013,-0.332375259,0.213029266,57.85944115,21.89328246,20.24727639,3.638198075,3.153487975,4.141702495,3.70,0.02,3.64,0.13,,,,355.7934913,48279.49419,2.826106744,51.28068207,,1047.986033,97.17389326,415.7612608,5208.512784,156.1321365,7565.23439,1.062859008,,365.0332533,49788.56348,29.15283429,53.35256037,,1090.327504,417.7669016,5337.953554,159.7204891,7926.988298,1.078046863,,13721.89874,1863515.53,1320.519498,,26986.49732,37.27810507,16067.74219,223676.3869,7111.903896,294238.3068,40.7859998
40,3.415059137,0.068166548,-0.514491664,0.116873042,,,,3.79185374,3.295290684,4.2524151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.295440341,0.076593886,-0.31429957,0.154228686,67.1794935,16.03189471,16.78861178,4.073921023,3.320249692,6.685359256,,,,,,,,338.8063576,45817.85516,1.778355507,150.0087877,,785.4228558,98.22164449,348.0674222,5098.744641,174.6014263,7762.324659,1.201501257,,340.3544276,46548.00904,18.19676998,154.7899532,,810.4563003,328.8325906,5160.996753,176.5845675,7997.589358,1.205791135,,24150.34799,3265517.329,4856.525706,,25428.01891,69.15250746,24576.86732,442025.709,15547.77225,562108.2161,84.84871439
50,3.448623228,0.088948369,-0.087111722,0.28284997,58.8832702,22.82400841,18.29272139,4.524899711,3.395312607,7.642832732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.445853205,0.086184247,-0.072706833,0.375673645,63.12400757,17.25730758,19.61868486,5.020157439,3.466885291,7.910672001,,,,,,,,320.0941211,46458.62831,1.942494295,90.68685863,,788.2018282,98.05750571,497.8355991,4954.74643,149.629647,7877.006024,1.158028398,,324.7349163,47229.09145,19.87647281,92.97334583,,813.0901509,493.094916,5029.690621,151.7283381,8143.993797,1.162021316,,19039.83288,2784692.413,4259.898406,,25750.19428,58.08605364,29892.68508,345908.4072,10817.95445,479434.0383,68.86658832
60,3.57280309,0.057737595,-0.360027262,0.254780792,62.32066252,18.72494853,18.95438895,5.493289502,3.529527655,8.022219981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.281495905,0.073468247,-0.170408738,0.080609291,61.80031729,18.09071692,20.10896579,5.958492434,3.603530002,8.109998943,,,,,,,5.912874531,322.4735279,47890.42223,1.575537361,97.48729361,195.5760436,1115.630168,98.42446264,431.3342817,5586.179335,153.1492639,8124.367715,1.243164102,6.046839261,327.1882511,48014.29501,16.0292805,99.45717668,200.0071019,1140.906383,402.1819497,5666.012073,155.095583,8257.107993,1.245864729,266.8926516,22450.38431,3260183.01,5223.263776,8827.822845,50356.80903,67.21885297,28556.87313,414877.5661,12221.80231,560891.6083,84.36766777
70,3.663750581,0.076305475,0.09330214,0.235745308,61.43442546,20.02538335,18.54019119,6.411480422,3.693899479,8.178355227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.833398716,0.084204494,-0.061609106,0.360274546,65.50090055,16.16305578,18.33604367,6.862012751,3.81051774,8.239490913,,,,,,,4.62993531,322.1694643,39908.91705,1.589497309,112.3297463,158.1705182,1051.465828,98.41050269,498.3581074,5442.588804,156.9399973,8316.433495,1.363482984,4.739419999,329.0393493,40564.15834,16.17908127,114.9139163,161.9107973,1076.329979,487.9956655,5518.272776,158.892419,8540.487102,1.367888968,200.4226176,22550.13219,2771241.786,5103.102918,6846.952963,45516.30195,67.6836368,34581.99185,415919.0445,12776.52779,583800.9036,93.67996532
85,3.429896805,0.053709579,-0.083457885,0.255126257,59.35327994,19.68737342,20.95934664,7.308703709,3.981715395,8.30886339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3.635922996,0.088142861,-0.044890985,0.165556767,60.67328512,15.52409812,23.80261676,8.206023898,4.585790914,8.637339364,,,,,,,4.700255416,309.6139591,41925.26023,1.763867248,183.7988277,338.1410637,1126.624705,98.23613275,600.9180734,5340.317818,155.47106,7646.884444,1.238039302,4.825291794,312.3383278,41360.29315,17.99168972,188.6882513,347.1363055,1156.595219,597.9677132,5422.218714,157.5982263,7938.720812,1.232104161,181.3880425,19526.19326,2563169.292,7092.999555,13049.23674,43477.69043,61.25877821,37881.51383,371488.1573,11522.94614,486870.057,76.3856974
95,2.690144927,0.072602969,-0.362929386,0.166761465,56.27865639,21.69215862,22.02918499,8.233763351,7.819346751,8.645861435,7.79,0.025,8.25,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2.091564257,0.037398997,-0.614883309,0.120973956,55.23665809,21.15209507,23.61124684,9.490340504,8.202409061,11.50410303,,,,,,,,336.7179501,44671.84097,2.640391972,108.7153596,,1109.554501,97.35960803,716.8413021,4980.821198,162.651419,6619.656258,1.135010069,,344.813659,45671.82513,27.19505986,112.9972393,,1153.255585,722.370508,5090.46232,166.0595674,6849.261497,1.1505796,,14058.10533,1865591.62,2868.958522,,29280.73691,40.401465,30183.25018,238157.9255,8008.706263,279701.3064,47.10809343
