DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
1,3.964846821,0.06678458,-0.701689223,0.160352528
5,4.084516341,0.105830685,-0.757943398,0.167990228
10,4.096178372,0.071225677,-0.430678614,0.332113309
15,3.917037102,0.044636057,-0.688930879,0.157002014
20,3.971514982,0.054524056,-0.778500868,0.229575174
25,4.030327978,0.022650903,-0.713280736,0.105477555
30,4.221939705,0.08467087,-0.758744844,0.186071693
35,4.152935069,0.029380988,-0.652975452,0.181064621
40,4.20865612,0.046377277,-0.493102443,0.204166355
45,3.991090753,0.112432339,-0.765138991,0.144087245
50,4.085189139,0.050198939,-0.6749715,0.060738026
55,4.163001852,0.034892633,-0.913288549,0.099010317
60,4.1683737,0.041049397,-0.669890061,0.198295028
65,4.283650423,0.077969261,-0.64166264,0.109765887
70,4.263407611,0.100362052,-0.781790308,0.248735954
75,4.372211901,0.032906355,-0.570560028,0.157448689
80,4.334585023,0.059287493,-0.523730542,0.089785653
85,4.48542168,0.051806465,-0.259169682,0.088669818
90,4.409016973,0.026110927,-0.400336107,0.115129435
95,4.268889347,0.096119037,-1.499823292,0.246553576
100,4.495963323,0.07283017,-1.018479541,0.060669967
105,4.358296977,0.046244251,-0.451535371,0.110123636
110,4.367694713,0.024355028,-0.564272745,0.079095962
115,4.642039373,0.047561014,-0.5418932,0.25122458
120,4.350437167,0.064364792,-1.083787067,0.105963363
125,4.524251949,0.093141498,-0.721135548,0.494353404
130,4.409663575,0.067447938,-0.661088905,0.048907903
135,4.644898981,0.03303648,-0.700523266,0.174508101
140,4.431480668,0.075022203,-0.871793684,0.106838067
