DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,3.716806837,0.064624372,-0.498304848,0.159447222,56.58200438,24.29429204,19.12370359,0.777593228,0.724329046,0.830470269,,,,,,,0.412269775,364.7767309,47756.88171,4.504091392,562.784117,,1011.595019,95.49590861,266.3895035,1222.895187,,6712.039905,1.127913024,8.480573219,352.6919078,50103.52906,47.16537355,691.1667905,589.5739143,1129.395943,254.8609974,1648.171104,2.197275055,7168.164606,1.175994701,9.095987013,8100.291163,1060237.28,12493.15705,,22461.32634,21.20291546,5913.115788,27142.55402,,149030.3361,25.04109129
5,3.440349669,0.078260526,-0.475897741,0.210652925,57.47857485,25.15474971,17.36667544,0.801081623,0.752602062,0.850305113,,,,,-1.342585803,0.055466708,14.59129711,357.2611543,36214.15188,4.968968838,379.4725451,499.5111743,1172.128542,95.03103116,226.5337394,804.7383448,,6618.821646,1.059281765,15.38870078,375.9826198,38193.22868,52.29313113,399.2925343,525.52879,1233.470794,238.3728083,847.1857003,,6965.25463,1.114787841,281.5902594,7188.703208,698879.0882,7659.604073,10108.96405,23614.72213,19.16187034,4569.941754,16091.2577,,133332.7363,21.31572585
10,3.882694032,0.067666338,-0.177474772,0.16414165,58.47811404,16.08077076,25.4411152,1.69040744,0.770353314,5.562944123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4.2107347,0.032343556,0.142944882,0.093995672,76.44204606,18.14933858,5.40861536,4.024861697,0.807481687,6.334107367,,,,,,,53.03693818,307.7802864,37358.48427,3.172723005,443.0480393,312.349524,1072.94745,96.82727699,244.6095552,1639.192587,,7811.378094,1.464723639,27.81132912,298.7959225,38514.75154,32.76688928,541.9948036,523.3766337,1011.090819,230.7008082,1819.325862,2.024115144,8342.320138,1.503624934,1659.604464,9702.634743,1177435.001,13949.1184,9773.879908,33758.05905,30.52032851,7708.220779,51556.61977,,246224.0333,46.17126509
20,3.166674025,0.062355057,-0.990308583,0.265449323,66.41955611,14.95239692,18.62804696,6.386381976,0.962419826,6.887870697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.706994453,0.158548686,-0.073548193,0.221887971,68.65568006,13.27849318,18.06582675,6.480551093,6.038021166,6.918564422,6.08,0.02,6.48,0.114,-1.33,0.15,16.89742204,268.7083382,44335.70128,2.779666128,566.4873284,811.7558168,1023.445959,97.22033387,330.2147381,1239.577074,,7296.758249,1.232523076,17.38055252,276.3911979,45603.21461,28.5914182,582.6832837,834.9650553,1052.708639,339.6561972,1275.023505,,7505.385049,1.267759863,607.8908552,9666.925616,1595153.152,20380.84368,29203.76109,36818.40939,34.97602451,11879.62866,44588.76662,,262505.7399,44.34469229
30,3.658592889,0.106875297,0.089962815,0.279432263,65.69735089,19.0455144,15.2571347,7.705922151,7.373036925,8.047937817,7.1,0.025,7.55,0.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.229210637,0.041681861,-0.409475475,0.085704807,65.69735089,19.0455144,15.2571347,7.537272346,7.178993012,7.911361732,,,,,,,0.430243257,286.4027402,40313.6026,4.307034746,224.4610917,123.9540998,806.4191402,95.69296525,385.405086,902.6774458,,5142.831957,0.920776737,7.998576436,273.6228719,42217.11739,45.00934663,204.8283932,604.7176314,875.1489574,372.9497392,1240.386927,2.200891111,5554.582828,0.951968528,9.845708443,6654.750024,935910.4143,5206.462021,2875.457044,18727.18132,22.22277033,8947.023819,20914.3076,,119435.1002,21.37377472
40,2.199859379,0.057505515,-0.415297904,0.194102069,47.91361539,20.03572568,32.05065892,9.295262598,7.564977016,13.23758907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.18440638,0.059493608,0.774632187,0.143005827,,,,38.47725651,35.11959941,41.78412674,34.3,0.71,38.47,0.8455,,,15.36400192,214.8376221,37507.51389,3.972339259,119.3212852,822.2274549,992.8967958,96.02766074,465.9507992,915.448561,,4602.632769,1.043144084,16.00413948,223.7296368,39070.25572,41.36670019,124.2547854,856.2271887,1033.969158,485.2258244,953.3888158,,4793.069758,1.086312419,384.1168612,5405.740679,937728.8928,3005.366566,20707.47106,24996.75701,24.17528875,11730.34183,23005.0899,,115848.4966,26.25157354
