DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
72,2.331834534,0.025919342,1.004380496,0.092243984,,,,37.33148293,35.22809948,39.32794548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2.881762925,0.061097072,0.597642063,0.098559938,,,,42.43497639,35.49416403,69.79050522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2.606538502,0.038530702,0.477475826,0.099173964,,,,50.16350934,36.0963674,80.00840801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3.001565415,0.026978782,0.280302692,0.134548874,39.35042899,19.55776559,41.09180542,59.26925499,36.8981533,86.45799751,,,,,,,,222.3029302,38370.32977,4.178778641,150.3426658,33.75243752,701.976954,95.82122136,473.8992655,971.2728785,,4758.185586,0.881995455,8.516383847,204.4796547,40202.28319,43.61042974,112.3089965,465.0580118,772.5376514,494.3309247,1303.98731,2.091730152,5100.524401,0.895356003,,5323.911637,918169.2597,3600.417043,798.375651,16806.36547,22.93370928,11339.66616,23219.99929,,113882.6389,21.09926084
91,2.708117445,0.063650668,0.483676382,0.06176816,,,,67.98535971,37.948985,92.31524387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3.004034049,0.057265422,0.169580386,0.087480411,,,,76.75498444,40.75508925,98.27197648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2.757666418,0.044033715,0.297298089,0.190175587,,,,85.46163147,47.21203676,103.69838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2.749173418,0.04409868,0.278662576,0.18387763,47.41250732,15.11657535,37.47091732,97.51442565,56.23083258,109.5037308,,,,,,,11.86425919,231.515584,27326.60862,2.93535308,104.8771572,645.6572159,647.1514825,97.06464692,316.768115,970.0361134,,5856.790753,1.022403926,12.22317961,238.5212144,28152.89117,30.24154853,108.0562462,665.1946962,666.7209357,326.3500516,999.3529221,,6033.923491,1.053332139,404.1884655,7885.281145,931402.6542,3566.014317,21990.71746,22056.09746,33.07943265,10792.67621,33078.60997,,199580.4465,34.83295354
113,3.105432199,0.071776171,0.170625851,0.195545008,56.08532359,14.50406431,29.41061209,106.2603996,63.84596749,112.9872286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,3.056457104,0.022474308,0.222097586,0.172616238,55.39032965,17.11664685,27.4930235,115.3454341,75.16678324,117.7194287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,3.5270873,0.040609008,-0.031613467,0.163293281,,,,115.5046546,113.2324117,117.7790109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4.007770011,0.05552837,-0.600471629,0.224638362,93.34452991,0,6.655470092,116.1531411,113.8028744,118.285654,,,,,-1.465166617,0.118824026,11.61231385,372.9657718,,2.032110698,73.21873349,1053.577565,1309.786583,97.9678893,144.0252269,583.259986,,9508.981913,2.71758818,11.85364444,380.7019873,,20.74262152,74.73749904,1075.431317,1336.955161,147.0126945,595.3596247,,9706.222516,2.773956479,570.3721014,18353.8473,,3603.060809,51847.1326,64454.31988,48.21009043,7087.478687,28699.26099,,467939.276,133.7364882
141,3.967033421,0.061505136,-0.303945785,0.225039146,83.43647916,9.749064905,6.814455934,117.0538913,113.8944607,125.2687377,,,,,,,,370.9486301,50108.41533,1.723567199,152.7427256,77.27735265,977.9908894,98.2764328,57.69452372,,,9270.554665,3.350799855,,318.1826921,49083.19627,17.54101763,225.9157992,885.8874366,1131.651335,68.59860875,1104.827277,2.677251547,9415.70149,3.242308919,,21836.19772,2925245.492,8720.232724,4079.69297,57975.54808,57.59344619,3247.192166,,,543013.3415,195.3780558
147,3.910907842,0.05909566,-0.665231906,0.158326515,85.79803156,10.88558406,3.316384385,119.296623,114.3167281,128.8573461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,4.151260677,0.036113834,-0.390401297,0.136702145,81.3868455,13.35213494,5.26101956,121.0571707,114.6166007,129.8763623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,4.299850558,0.061790528,-0.690560775,0.230385188,84.70110988,10.20552633,5.093363795,122.8393876,114.9351232,130.5365723,,,,,,,,324.8325734,41609.38515,1.491786558,371.126166,406.7935276,900.6593791,98.50821344,110.8098464,872.1874694,,9445.509998,2.743389924,8.367263676,294.7555306,41864.5112,15.14479365,411.7103053,872.4062769,1019.775375,90.83598615,1214.503034,2.24311548,9795.228125,2.749965729,,21943.86393,2796922.649,24826.86778,27567.78738,60643.22852,66.32731723,7405.691723,58240.53404,,636095.2563,184.5625667
