DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,3.415240009,0.040354341,-0.761550963,0.221615296,56.00756707,19.12146583,24.87096711,0.394008791,0.158236588,0.627062859,,,,,,,,307.823331,42121.76488,2.449665434,187.4617553,,777.6833856,97.55033457,285.8525306,3822.099747,148.4403846,7389.250309,1.044389314,,311.6392064,43377.21363,25.18480669,192.7546543,,803.9967343,272.0585842,3892.366483,150.8947066,7723.307272,1.068984944,,14152.64643,1966166.924,7604.672068,,23761.89016,45.01796368,13276.42121,222346.2647,9126.295581,351262.5027,48.54755409
10,3.332850555,0.039328439,-0.993729415,0.140252435,,,,0.480710233,0.246781612,0.694595167,,,,,,,,303.3082526,42693.37263,2.309272832,336.7345103,15.70535275,729.2051789,97.69072717,256.1770935,3891.425542,138.9340559,7536.858927,1.162953104,,305.518411,43931.18437,23.69874404,345.2945383,16.20077527,752.2078247,236.3605392,3960.510842,141.1365314,7904.310911,1.200247778,,14693.44683,2097001.307,15135.35951,513.5795826,23845.6848,47.39089432,12502.4955,234576.3218,8903.014111,376749.4085,57.28334232
15,3.359735852,0.029306321,-0.785287174,0.214754635,,,,0.94249921,0.268631948,5.559099859,,,,,,,,310.6746608,45081.36122,2.056906645,224.646492,,628.1588199,97.94309335,271.5569513,3897.510418,156.387512,7577.624136,1.148302595,,311.0011785,46234.97889,21.09105781,230.2874494,,647.429763,249.4407206,3949.532611,158.1865406,7845.736153,1.170795536,,18764.65823,2787719.634,11091.60416,,21103.72662,59.76251374,16636.94557,322340.1975,13750.97622,479318.0047,70.59651657
20,3.535870288,0.0958375,-0.555065028,0.181058632,,,,1.660018691,0.311028299,7.679439908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.690598093,0.063997531,-0.551669202,0.226320606,,,,2.387295153,0.366030963,8.420013305,,,,,,,10.54175697,260.0659154,50013.03571,2.735006721,379.6115689,650.3436994,930.2099013,97.26499328,319.6783057,1026.751921,,6767.180291,1.197100587,10.83750059,267.3897937,51409.92942,28.11989144,390.2973316,668.6082092,956.8872191,328.670126,1055.368564,,6957.409349,1.230718744,386.5223593,9504.318509,1843324.404,13876.9689,23807.10687,33375.437,35.59777426,11696.40648,37920.87457,,247745.5043,43.86784249
30,3.386824374,0.048894022,-0.639140198,0.092183946,,,,3.134614051,0.41785237,8.927991719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.45972548,0.077943559,-0.754559972,0.253631757,,,,3.876682319,0.467475702,9.439909388,,,,,,,,291.4702102,47538.77333,1.686023549,343.7994382,138.9875068,898.7322245,98.31397645,339.3173447,4130.913691,142.9659329,7700.530638,1.220936951,,297.980945,48735.41927,17.21891984,350.0767061,142.5496985,921.7663554,333.7183132,4178.006872,144.2252138,8082.299384,1.263525268,,22523.35911,3756996.882,24983.41609,5561.920613,35964.93958,76.27361995,26604.0301,425684.5477,16373.8634,629090.1366,97.46150917
40,3.385084276,0.09469651,-0.648506078,0.252044599,,,,4.662680574,0.548824899,9.889007016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.851476314,0.050846309,-0.773037015,0.206338986,,,,5.460197984,0.651509796,10.45640454,,,,,,,,302.0587791,49265.09262,2.578434775,72.73503622,270.0826407,898.1509616,97.42156523,382.4706685,4968.31989,111.3988334,6886.086416,1.026757379,,311.6108062,51249.70799,26.49718482,75.06867845,278.7480142,926.967377,388.7802911,5080.042717,113.7282069,7290.996297,1.068311364,,12252.53796,2016456.816,2339.74299,8688.027092,28891.74909,39.49577533,15701.66511,230893.4803,5438.882996,285722.8522,41.85799048
50,2.727433922,0.06873222,-0.478831917,0.219799556,,,,6.361255387,0.837156114,11.17931538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
