DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,2.092371576,0.047459766,-0.463197272,0.1894295,54.50764451,32.32421809,13.1681374,0.428388169,0.177679723,0.683533924,,,,,,,,355.5497266,31815.09277,5.604664684,173.602505,116.3324093,442.0902501,94.39533532,198.551474,818.7032142,,5472.467093,0.91163154,8.487628828,341.2148788,33301.8517,59.37438185,161.3378426,394.8911585,500.1019414,176.8978064,1161.962403,0.49312651,6124.922961,0.920223979,,6343.817993,567653.8129,3097.464608,2075.63549,7887.898296,16.84228061,3542.611114,14607.53248,,97641.29349,16.26558575
10,1.93996015,0.050280925,0.585983802,0.166069915,40.04880959,22.64677306,37.30441735,0.522641633,0.272665522,0.763998115,,,,,,,,284.8397427,28944.48218,5.253915608,505.437665,60.31386948,1096.880362,94.74608439,364.7205355,522.8029599,,4759.505752,0.741606125,11.1310549,263.2269065,29478.69617,55.45258827,462.056601,464.4051475,1230.515755,343.7413793,872.6573794,2.551492863,5097.017261,0.734200016,,5421.475409,550912.583,9620.209055,1147.979412,20877.3883,18.03342335,6941.880357,9950.730064,,90589.68791,14.11530334
15,3.036602757,0.064932831,-0.595636896,0.178448397,68.18351518,16.59420576,15.22227906,1.046299742,0.291626461,5.802980939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.939361094,0.158113489,-0.385431254,0.19170669,68.57652729,18.7603417,12.66313102,1.864085637,0.3498308,7.812406401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.781179463,0.070029332,0.043608648,0.184190124,58.14631733,20.65394168,21.19974099,2.713939044,0.414165266,8.589529805,,,,,,,,295.488569,41849.64618,4.11697039,67.72826252,258.2911168,682.2029069,95.88302961,236.5012791,1007.154874,,6787.941568,1.161664278,,274.1286535,42841.21561,42.93742497,90.15713652,565.3112254,736.6301186,216.014371,1597.946901,0.447519434,7219.12667,1.15328099,,7177.330441,1016515.598,1645.099578,6273.815266,16570.50798,23.28970591,5744.546516,24463.4957,,164877.1044,28.21648368
30,2.889695236,0.115648232,-0.422429428,0.267964507,70.51189794,16.88485264,12.60324942,3.549399683,0.464759186,9.205665754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.709064483,0.047083516,-0.92376022,0.154807576,,,,4.417977083,0.548739703,9.734729478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.757402554,0.059332018,-0.704932422,0.172179718,60.18745063,19.4359004,20.37664897,5.300668036,0.652143116,10.33242347,,,,,,,,319.1468045,48633.45534,3.452206349,41.89839164,185.5551649,612.4882091,96.54779365,203.5866549,969.2986567,,7375.680627,1.293558423,,289.4621465,49399.55822,35.75644993,74.90353465,490.6056266,677.0073161,174.9273202,1225.875903,0.43950656,7799.98009,1.303392884,,9244.719816,1408764.437,1213.669966,5374.973165,17741.93507,27.96698224,5897.291017,28077.65697,,213651.2097,37.47048387
45,2.612316426,0.081482198,-0.772284814,0.270743381,,,,6.287874608,0.883184101,11.11525945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.491349655,0.064702509,-0.705054088,0.203819684,68.26241718,16.46843708,15.26914574,7.562760579,1.544129791,12.47015261,,,,,,,,305.9368763,48378.39303,3.590386973,64.34798912,51.80833586,588.8187342,96.40961303,211.9993818,728.0290314,,7331.151472,1.318282068,,282.6820448,48912.5816,37.24096447,96.77470211,432.5810428,678.140926,182.059467,1041.54316,0.486934371,7758.76682,1.351959222,,8521.000065,1347442.306,1792.229907,1442.973592,16399.86828,26.85215097,5904.638787,20277.17449,,204188.3376,36.71699116
