DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
15,3.390440898,0.072245987,-0.379841776,0.186961093
20,3.227387757,0.06959702,-0.805593867,0.360491853
25,3.26455664,0.058927487,-0.403164093,0.19876202
30,2.908267425,0.068666602,-0.493639414,0.209396657
35,2.982486301,0.073259252,-0.432064561,0.169844425
40,2.776276958,0.096760388,-0.313303975,0.168604592
45,1.620187037,0.130764925,-0.720296554,0.181952076
50,1.829739354,0.050195682,-0.599729846,0.182360386
55,1.704854913,0.142215311,-0.26196236,0.264784398
60,1.232603424,0.118850679,-0.378048711,0.176337528
65,2.272621957,0.041549293,0.683829525,0.16566174
70,2.126423924,0.070681724,1.675828383,0.274089502
75,2.043567877,0.087082708,1.389260851,0.09925508
80,1.868404154,0.067142166,1.618910566,0.183811691
85,2.195936405,0.083573714,1.179498341,0.168027976
90,1.854936746,0.082922091,1.453560603,0.165934867
95,1.968918564,0.082605431,1.175699348,0.368912666
100,1.56205723,0.180228253,0.794096526,0.27983062
105,2.063497527,0.079870668,0.774196245,0.180072273
110,1.731057657,0.057297609,0.772004334,0.191722493
115,1.927710235,0.056762402,0.556174124,0.146576037
125,2.130948974,0.016973148,0.879667656,0.116148149
130,1.996006557,0.14736628,0.892629351,0.537942016
135,1.670628535,0.086955881,1.467770888,0.251870367
145,1.871770754,0.067827033,0.451110345,0.376621915
150,1.891352394,0.136105362,0.508854207,0.249980574
160,1.717265588,0.08295903,0.650009094,0.214145225
165,1.687689483,0.1017193,-0.087315635,0.17322914
170,1.594943713,0.07936084,0.485567951,0.331777867
175,1.560775957,0.044244288,0.428701373,0.164545482
180,1.565589809,0.09642254,0.601547181,0.207374365
185,1.629126832,0.030426997,1.278724173,0.184542714
190,1.873433277,0.081335139,1.508389235,0.205330157
195,1.999822346,0.081984455,1.1869857,0.372890961
200,1.960826074,0.061376959,1.137063094,0.222859817
205,1.789426091,0.134061382,0.769550051,0.315495643
210,2.170277458,0.070120315,0.833972824,0.225372775
215,2.230243859,0.048114135,0.680601665,0.125815872
225,2.434701749,0.09213341,0.588796354,0.268786099
230,2.351219965,0.051708177,0.776330763,0.264774248
235,2.818262916,0.059887594,0.596069164,0.128547484
240,1.592446717,0.080418008,1.558337057,0.130472809
260,1.391200526,0.04665542,0.314646656,0.165152655
270,1.555559438,0.090779707,1.322499987,0.345881842
275,1.649054957,0.084854534,0.973951421,0.234790473
280,1.888469719,0.063787434,0.509801368,0.169143039
285,1.342226023,0.139934292,1.888801453,0.185280092
290,1.428777142,0.084854711,1.894823118,0.196967841
295,1.712813096,0.068698141,1.643938288,0.13531185
301,1.635782713,0.08570669,1.279987112,0.252567624
305,1.822914375,0.042192872,1.342495639,0.151149607
310,1.718040393,0.113689564,1.172949048,0.202948411
315,1.81653012,0.032368937,1.174827032,0.143693052
320,1.603646543,0.091453849,0.830628946,0.279214728
325,1.948205331,0.050503885,1.120016755,0.254295584
330,1.93581717,0.054275191,1.044211351,0.152456627
335,1.890393673,0.035325283,1.055673853,0.170042242
340,1.703951983,0.161288224,1.056962424,0.447256684
345,1.620079279,0.068509799,1.442801611,0.174807248
350,1.649864955,0.06582107,2.15328915,0.316343111
355,1.696685105,0.096200431,1.778878428,0.178869701
360,1.758697214,0.066341999,1.597916551,0.127574605
365,1.602241935,0.045804348,1.218956902,0.244502661
370,1.866897556,0.084874918,1.754215416,0.274871701
375,1.759435801,0.043598774,1.188163596,0.185542313
380,1.784455159,0.119784262,1.220939246,0.208195224
385,1.894981785,0.046742865,1.108437014,0.144448653
390,1.854506738,0.050185362,1.16552426,0.188935839
395,1.469588071,0.058678055,0.402180122,0.23024381
400,1.319844674,0.102675695,0.67196691,0.203250919
405,1.522753076,0.056539491,1.57003557,0.185448885
410,1.600246327,0.047770203,2.370458043,0.181279147
415,1.590291437,0.140613959,1.633285289,0.320443445
425,2.458902016,0.027050645,0.758618127,0.098052051
430,1.69970575,0.101400211,2.275978992,0.285845936
435,1.85080765,0.139538746,1.780361261,0.347845833
440,1.938507467,0.11335481,1.800005423,0.112534299
445,1.802495186,0.046839382,2.327088083,0.174000826
450,1.995282302,0.035190771,1.996802286,0.078928868
455,1.914476536,0.081399764,2.061391548,0.12485382
460,1.843514042,0.077781645,1.704442806,0.244076936
465,1.971418408,0.039087995,1.973943552,0.131354283
470,2.0184156,0.074394516,2.192955053,0.201527598
475,2.013183596,0.055653934,2.310742627,0.149211659
480,1.983709373,0.076572883,2.122053826,0.201960457
485,2.034536075,0.037162457,2.090009223,0.178883309
490,2.047719993,0.063303441,2.458773302,0.183632333
495,2.07284702,0.089727973,1.939887687,0.215357204
505,2.080298082,0.027352091,1.576035014,0.13659557
510,2.320857277,0.067461323,2.22435821,0.16125001
515,2.254485849,0.074234601,1.898148555,0.208388002
520,2.47607441,0.071208422,1.484662446,0.128292069
525,2.340177979,0.036117349,1.333911344,0.199717062
530,2.439298749,0.047099011,1.655662025,0.132125804
535,2.454694655,0.093968942,1.289930957,0.149916217
540,2.529380653,0.05443002,1.405013761,0.212284496
545,2.528391701,0.032895583,1.339309662,0.129570866
550,2.423494903,0.110531876,1.637859606,0.252249596
555,2.570777628,0.038697105,1.188202607,0.189018302
560,2.519359921,0.074879898,1.131283031,0.085580298
565,2.662935594,0.022511353,1.301300267,0.223685782
570,2.718266695,0.061406064,1.481089292,0.259021944
575,2.716898114,0.07215742,1.342890999,0.147699309
580,2.633159586,0.093876686,1.030764511,0.226292019
585,2.658407821,0.079805273,1.078425052,0.198717198
590,2.71210965,0.049166376,1.472687792,0.107691234
595,2.712349911,0.050002055,1.467244135,0.119875774
600,2.655324403,0.098582844,1.235409735,0.174047677
605,2.529703123,0.048606897,1.313582242,0.10212935
610,2.624430802,0.064661012,1.469805577,0.15867985
615,2.80822353,0.039257934,1.586394332,0.178380516
620,2.615053353,0.090765232,1.406921011,0.17024938
625,2.743275419,0.058776164,1.771852225,0.144804983
630,2.737820071,0.022056668,1.600842219,0.101865565
635,2.787995954,0.034234732,1.71091105,0.072063265
645,2.64875305,0.055885999,1.450939095,0.138490641
650,2.678186188,0.072913071,1.496965424,0.108429606
655,2.617556236,0.066452785,1.520899095,0.129925432
661,2.411535027,0.090080113,0.960916911,0.166309459
665,2.39535574,0.055988231,1.579657197,0.1464204
670,2.469136286,0.066943817,1.559015401,0.167218495
675,2.25448376,0.059031892,1.791025265,0.145375407
685,2.230114688,0.039672462,1.969730944,0.175514598
690,2.079452205,0.050634937,2.182623896,0.189417892
695,2.054473943,0.043345944,2.119607028,0.225099644
700,2.141994227,0.094752944,2.006533865,0.14999216
705,2.010653481,0.036603975,2.631171985,0.183077086
710,2.13771965,0.041125486,2.532363455,0.333202841
715,2.017229157,0.057013569,2.260310202,0.244675455
725,2.136502049,0.11368381,1.658458235,0.243525448
730,2.244452692,0.086150636,1.532937134,0.159111506
735,2.330126492,0.119748346,1.763517289,0.611681399
740,2.399596651,0.068721586,1.26097523,0.115447027
745,2.579656019,0.060857891,1.796313039,0.153065983
750,2.598172307,0.04768578,1.802341453,0.13715741
755,2.599544771,0.056203932,1.611142883,0.122066489
765,2.373935943,0.051037242,1.551411794,0.108148468
770,2.458208003,0.078094421,1.468304877,0.180088283
775,2.355322353,0.036439605,1.447687757,0.093672394
785,2.2820362,0.036842625,1.237466133,0.10665246
790,2.373987792,0.032074237,1.720285342,0.154012907
795,2.353387523,0.052953546,1.677175445,0.143803136
805,2.331319345,0.048448407,1.926485813,0.1974929
810,2.32960914,0.08828154,2.253732202,0.356791849
815,2.373552924,0.055447149,2.246167316,0.292272454
820,2.217320051,0.073884364,1.459258627,0.163292868
825,2.28759954,0.026418294,1.560700048,0.065036884
830,2.275601189,0.029838329,1.303188552,0.093397429
835,2.164057892,0.067432709,1.086824404,0.208569096
840,2.17867434,0.081860111,0.642586859,0.192824018
845,2.08491113,0.092627458,1.059805508,0.305008586
850,2.056535163,0.048916556,0.518612176,0.114579778
855,2.337569735,0.092691532,1.331104537,0.188464682
865,2.477982318,0.09781554,1.057764257,0.244821299
870,2.621103945,0.036232801,1.473024803,0.10226296
875,2.768143871,0.09820894,1.592555583,0.164678006
879,2.649218448,0.100615356,1.251566532,0.29170655
885,2.737158545,0.065203096,1.464692018,0.229762557
890,2.776667701,0.044291816,1.35472108,0.151875546
895,2.651123619,0.079687503,1.233546168,0.155043929
900.5,2.727505797,0.083553372,1.05906246,0.216190624
905,2.607682269,0.039549106,1.073819672,0.22027751
910,2.757162411,0.06915675,1.509557125,0.0752087
915,2.639700568,0.078318482,1.443745288,0.188153056
920,2.57405064,0.060714189,1.244437706,0.145896742
925,2.413838667,0.108331578,0.986609092,0.221002065
930,2.555300986,0.059846502,1.746324471,0.105768754
935,2.406368895,0.072453011,1.088796893,0.219820732
940,2.311740654,0.084701401,1.132323868,0.160346728
945,2.348222699,0.070193782,1.256884165,0.222173323
950,2.413445732,0.071028503,1.557020794,0.186109234
955,2.303210823,0.066318273,1.381621995,0.220083631
965,2.237512932,0.07018769,1.168789001,0.290535896
970,1.957398179,0.03224091,2.736585185,0.247462386
975,1.979420889,0.093744496,2.789086448,0.221080119
980,1.864311938,0.077416157,2.062286178,0.201205767
1000,1.660568088,0.134368156,1.792393471,0.288794029
1020,1.749714891,0.09856962,2.164023474,0.257706089
1040,1.759119483,0.122038167,1.509654849,0.168184094
1060,1.777887,0.076351465,1.280762832,0.2881889
1080,1.775489325,0.117758566,1.422855083,0.333144387
1100,1.953671867,0.045505391,1.362902589,0.169117209
1120,1.957351518,0.031399267,1.761295225,0.158632396
1140,1.907478636,0.069175055,1.708515339,0.220826454
