DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,4.184886772,0.047079543,-0.979278136,0.181294449,77.3872838,11.9558971,10.656819,,,,,,,,,,1.997827271,272.7334843,,1397.691905,98.00217273,128.7622859,1436.708849,,,2.497871912,,,,20.39039955,278.7266894,,1428.387126,131.3951758,1466.673061,,,2.552712407,,,,12685.28599,,65047.29158,49.68238212,6506.604785,71053.035,,,116.2822124
10,3.551406849,0.164880109,0.079568735,0.214067599,75.03909597,13.12800207,11.83290196,38.6,1,41.93,0.571,-1.38,0.09,14.23574482,310.9629207,47175.71394,2.258197059,407.3451683,909.1058442,1213.154139,97.74180294,169.3146615,1230.288387,,8204.960973,1.945049711,14.56463499,318.1474944,48265.54369,23.10370401,416.7565211,930.1098218,1241.184644,173.2265512,1258.718044,,8394.527948,1.989984555,630.4260019,13770.23417,2089306.867,18038.40478,40258.01382,53718.84599,43.28363441,7497.692646,54471.45332,,363341.7726,86.13950672
15,3.299068851,0.093395627,-0.021532274,0.34747728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.682348001,0.033292262,0.477424411,0.143044743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.278870256,0.063630236,0.207941232,0.2118335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3.758648268,0.080129358,-0.21607585,0.195866941,76.90671362,12.17339269,10.91989369,,,,,,,13.32716787,291.7581999,45820.78759,2.514445778,394.0204828,955.0695951,931.8181174,97.48555422,175.2739507,1103.036909,,7747.600855,2.0692208,13.67103991,299.2857025,47002.35136,25.79323124,404.2000117,979.7100943,955.8594367,179.7961674,1131.489288,,7947.488635,2.122614554,530.01431,11603.87893,1823349.991,15650.61545,37986.40286,37060.55758,38.78315067,6970.942462,43880.0383,,308145.6044,82.28724867
35,3.624021402,0.067127107,-0.182749314,0.234472734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.943872719,0.109623816,-0.482461148,0.754448729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.592071993,0.092367173,-0.085632799,0.35685724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.528318321,0.124194375,-0.240331201,0.372701049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
