DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
55,3.047722671,0.109287383,0.796140922,0.204601242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4.056746466,0.032639276,0.182197889,0.142249569,83.15428999,10.37756746,6.468142553,39.9,1.2,42.79,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.755981025,0.08997148,-0.040339849,0.149629002,81.16720339,11.3604994,7.472297215,,,,,,,13.34242247,298.5709946,33141.59882,2.108335207,288.9483252,586.3978662,745.0301171,97.89166479,95.65963697,1011.984193,,8802.450771,1.788359499,13.62978903,305.0028023,33855.2669,21.53754991,295.1702307,599.0329237,761.0795747,97.72101412,1033.77275,,8992.107384,1.826879395,632.9898126,14162.09503,1572579.261,13711.29365,27808.32953,35338.86918,46.44245659,4535.949838,48026.33323,,417451.6337,84.83766916
75,3.951912183,0.059331437,0.051906754,0.205936598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4.021958841,0.085889077,0.25507993,0.359257065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3.295285987,0.108117569,0.057531877,0.173211087,72.52811766,16.72981593,10.74206641,,,,,,,15.39789962,239.0148306,33577.41637,2.878225835,387.2569346,633.5307235,690.735419,97.12177417,218.9892152,919.6382741,,7378.213976,2.239900135,15.85255223,246.0977726,34568.85419,29.6352385,398.7353571,652.3094142,711.2057847,225.4783705,946.8778527,,7596.853587,2.306279051,536.8846481,8304.710097,1170757.039,13452.63528,22007.04011,23998.66262,33.74406312,7609.306389,31968.04905,,256366.8037,77.82443676
90,3.119022796,0.09484414,0.573389222,0.274929107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3.528842969,0.12691693,0.559417729,0.246610474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.5,3.842510421,0.111209313,0.593273761,0.176978365,66.28547309,18.36565135,15.34887555,41.7,1.4,43.85,1.024,-1.28502207,0.077675183,13.41328347,225.9646205,55703.70209,3.319703194,255.7212629,561.4837175,693.9343253,96.68029681,162.1407659,1093.932231,,7045.968173,2.231650685,13.87393405,233.7236117,57616.67028,34.3369323,264.5014817,580.7630658,717.7608007,167.7081927,1131.492481,,7287.902286,2.308287959,403.9887196,6806.814543,1677762.95,7703.635913,16914.14111,20904.72433,29.12358681,4884.252715,32954.882,,212252.2255,67.21748981
110,2.583813521,0.057336964,2.851894537,0.142310535,20.43289429,0,79.56710571,,,,,,,,136.1584199,,2.517160134,148.2982229,,625.7124897,97.48283987,675.603308,1821.580862,,2832.635363,,,139.8053542,,25.82339148,152.0988837,,642.4712688,693.0212574,1868.808084,,2905.695612,,,5219.897113,,5952.860997,,23988.75641,38.83719004,26958.67854,72273.43974,,112982.3338,
115,2.488672519,0.143816572,2.609304278,0.105146885,19.3816533,0,80.6183467,42,2.1,44.2,1.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2.161446606,0.078384437,2.183331972,0.105002144,14.7688938,0,85.2311062,,,,,-0.97,0.13,12.86517726,126.1409088,41125.10817,3.174741098,160.2028887,1030.533497,821.3470631,96.8252589,707.4693558,1338.149134,,2160.055623,1.311309352,13.28701868,130.2772431,42473.30916,32.78839811,165.4889324,1064.325546,848.2834365,730.6659972,1382.044279,,2230.880129,1.354292908,405.2387358,3973.065579,1295642.976,5015.43431,32459.28238,25866.96046,30.49981462,22285.28895,42133.42353,,68041.5917,41.31732915
126,2.186351326,0.096956722,2.525800311,0.194908532,22.10243285,0,77.89756715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2.58243345,0.101843487,2.187803871,0.199628236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2.578545942,0.070757212,2.15172687,0.095635241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2.624978811,0.039845842,2.205773147,0.181623967,27.15338264,0,72.84661736,,,,,,,10.47983672,192.569715,36844.36674,2.484490945,,736.6985436,483.6230492,97.51550905,396.4788916,1024.465082,,3494.220623,0.978343712,10.7452415,197.4753195,37777.46058,25.47792844,,755.4765587,495.9458529,406.5804477,1050.535622,,3583.257687,1.00326716,424.2891764,7752.173379,1491689.845,,29639.86611,19464.66456,39.2510679,15958.55203,41283.12136,,140628.3004,39.38357321
145,2.057010878,0.109920233,1.03205246,0.270351445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2.093958554,0.102082675,2.074365575,0.214893208,25.7533459,0,74.2466541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2.116147987,0.114094206,1.595479512,0.274699169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2.220729085,0.078174559,1.651959107,0.180706478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,2.656575547,0.059939468,2.003708733,0.12997086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2.244680189,0.101509143,1.373608971,0.357163901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2.304424706,0.104336962,1.173077252,0.334066657,35.40455752,0,64.59544248,,,,,,,10.19908447,233.403542,19385.15228,2.252641545,3.192303878,690.9747456,516.0759966,97.74735846,234.1187538,1029.24457,,4259.409433,1.277959433,10.42618459,238.7831807,19816.79597,23.04614288,3.268362334,706.9481475,527.9685723,239.5162266,1052.853078,,4357.599289,1.307412779,468.2407704,10371.55567,889973.8662,137.1787733,30614.98787,22936.73773,43.44089698,10400.7934,45950.93094,,189241.274,56.79119505
185,2.734055219,0.055226749,1.996956684,0.109490006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2.448490356,0.138219037,1.220642977,0.367327797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2.224219795,0.105052659,1.88781406,0.267961699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2.724404042,0.038918671,2.15484607,0.100365422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2.202711938,0.105682899,1.413488757,0.341064026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2.465613909,0.088886992,2.011253699,0.280279392,26.78825335,0,73.21174665,,,,,,,10.41375777,191.6829607,24823.185,2.441098358,,861.8609232,440.198449,97.55890164,293.976314,1031.84542,,3531.279477,1.042469697,10.67433669,196.4833668,25444.23734,25.02229931,,883.4455403,451.2175449,301.3364002,1057.686478,,3619.663587,1.068567933,426.9356871,7852.073849,1017822.605,,35304.14135,18040.21944,39.99769691,12045.76151,42268.25879,,144736.9568,42.71768049
210,2.432608366,0.114181121,1.643965781,0.241269341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2.342901464,0.098146255,1.607770619,0.197429155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2.695970268,0.121182394,2.240266037,0.249755882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2.334466908,0.082084388,1.760599333,0.157288156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2.41827659,0.082261676,1.573530301,0.180805485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2.434539837,0.081127463,1.636636586,0.258639496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2.516135356,0.092971581,1.569862214,0.180554427,36.67334565,0,63.32665435,,,,,-1.063181424,0.115527655,10.29643448,237.1786413,27087.43725,2.264788921,,740.8302269,658.3417605,97.73521108,201.3083669,1148.33586,,4372.201486,1.178614714,10.5350563,242.675011,27715.27717,23.17272853,,757.998869,673.5953932,205.9731374,1174.938849,,4473.51647,1.205932046,454.6058629,10472.39851,1195803.063,,32709.41398,29073.59157,43.15635816,8889.218783,50719.52681,,193062.0868,52.0328799
255,2.638842787,0.090956629,2.003570924,0.258563662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2.743749385,0.061424217,1.62005448,0.160260963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2.529338264,0.078452325,1.148594363,0.28437154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2.61736163,0.115702399,1.626643914,0.197994003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2.552052345,0.114464552,1.438711791,0.142076875,31.36203347,2.663674625,65.9742919,,,,,,,10.76953806,236.9026564,22127.74087,2.359849511,18.43188195,765.5298235,542.6661345,97.64015049,240.5194706,1219.544227,,4159.651734,1.07330841,11.02996239,242.6320898,22662.49135,24.16900191,18.87979354,784.0394612,555.7831186,246.3342832,1249.010318,,4260.190035,1.09925217,456.2546252,10035.15661,938018.4499,777.1052004,32435.44657,22999.68615,41.38681134,10191.94747,51708.13304,,176308.0878,45.48904096
280,2.385486071,0.098176446,1.671139688,0.309778595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2.591758069,0.076944229,1.321412771,0.182843231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2.542559278,0.091080359,1.722945445,0.205206083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2.567760266,0.066158361,1.155523417,0.179024743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2.386891784,0.119853853,1.862953426,0.273589899,33.00339044,1.823907553,65.17270201,,,,,,,10.94671466,208.8861497,27997.30898,2.328219872,8.438389779,789.0605429,465.9866328,97.67178013,219.3481857,921.8166881,,3855.750351,1.040080927,11.19472625,213.8558702,28631.62322,23.83854596,8.649525331,807.9354171,477.1106163,224.5843115,943.6001108,,3947.673389,1.064857196,494.1118877,9010.355873,1263740.183,345.6929234,33856.53245,20034.38562,42.05230453,9430.771991,40023.87737,,165985.6086,44.80918764
305,2.452756085,0.11499122,1.054953733,0.304204424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2.501899725,0.112353626,1.606379977,0.28202228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2.281735274,0.035763907,1.318129318,0.182226328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2.27222961,0.128945655,1.617076277,0.644778312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2.443691493,0.057841979,2.081989163,0.273154305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2.40728632,0.08513725,1.933701398,0.207796591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2.404558149,0.108491798,1.80279382,0.207477578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2.169081465,0.052668652,1.382770429,0.32471946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2.187457165,0.064418924,1.812288017,0.242428309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2.436069709,0.154911118,1.220926808,0.248007237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2.353393031,0.05385267,1.35046607,0.169996934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2.165097491,0.123934509,1.617960734,0.293316807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2.329027831,0.079401219,1.561555222,0.201421753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2.188702842,0.102045741,1.266794337,0.203243465,32.63128615,0,67.36871385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
