DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
3,3.303906582,0.095038375,-0.637505682,0.146445031,64.96373636,14.69282744,20.3434362,0.686593856,0.537109664,0.837994148,,,,,-1.35820944,0.062549834,13.93371524,295.25573,43806.4802,3.320577879,707.6156369,659.5074304,1212.453394,96.67942212,370.0531477,1672.866269,,6991.358845,1.1826239,14.41031662,305.3952463,45304.87661,34.34629288,731.921367,682.1658052,1254.09761,382.7622118,1730.318845,,7231.479367,1.223238699,421.2938881,8893.044757,1324514.104,21308.86362,19855.82617,36513.11003,29.11571709,11145.17009,50383.1095,,210555.4957,35.61891327
10,3.463815599,0.044485148,-1.610360345,0.145973622,64.94073491,16.33636197,18.72290313,2.293991972,1.797828247,2.802175527,2.6,0.015,2.29,0.129,,,154.1159568,312.8992766,45769.4503,3.008587785,223.2618124,669.5149942,1982.717035,96.99141222,460.9169834,4286.816038,13.62122137,8007.412838,1.18240228,158.8514245,322.6155915,47189.14878,31.01943349,230.1729387,690.1115351,2043.946135,475.21231,4418.554827,14.03975691,8255.587995,1.219047705,5170.153176,10393.01436,1521817.914,7437.670458,22433.07654,66201.47803,32.24862869,15326.96615,143788.9097,456.9509711,266449.9649,39.34580065
15,3.503387187,0.049598002,-0.347163054,0.168802594,63.99136727,17.65215927,18.35647346,2.480226059,1.992837366,2.964292472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.486308763,0.098083419,-0.800904651,0.265300776,62.39906859,18.65989443,18.94103698,3.369803905,2.058330565,4.560644187,,,,,,,12.97284847,295.7823079,39154.88581,3.066698435,214.1442364,648.6400787,1988.880157,96.93330157,373.606178,3731.682986,8.7647102,7710.572023,1.408223228,13.3713454,305.1652435,40395.12456,31.63788591,220.9069155,668.6772757,2052.37635,385.4428399,3850.995993,9.046649863,7954.946917,1.452804796,435.3066447,9626.272206,1276157.079,7000.071385,21651.64415,64325.19626,31.62993303,12174.16356,120516.8645,281.3518447,251167.5523,45.92181543
25,3.462599806,0.050748324,-0.459728477,0.10319149,68.98923888,18.63231735,12.37844378,4.738721066,2.274012206,5.355919719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.710874114,0.041829412,-0.227082161,0.255904617,69.52462336,14.70665329,15.76872335,4.895629126,4.395630192,5.404660546,4.65,0.02,4.9,0.129,-1.39450095,0.08799806,13.87927707,272.0421009,39541.13266,2.898499522,179.8212628,1079.226875,818.8398715,97.10150048,384.6374574,1009.631066,,7442.766917,1.423000672,14.29358127,280.166696,40721.51032,29.85032175,185.1915174,1111.450362,843.2860887,396.1213367,1039.772088,,7664.98516,1.465482403,478.9016574,9382.283918,1364299.681,6201.902633,37229.5721,28250.10192,33.50506653,13269.32865,34833.78391,,256757.8811,49.09545424
35,3.627683072,0.061138323,-0.49298345,0.140865828,69.87675129,15.52363324,14.59961548,5.088467186,4.597937845,5.55784416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3.544058385,0.084203444,-0.535590983,0.212821231,69.37604917,13.4477212,17.17622963,6.118328033,4.648926954,6.762061126,,,,,,,29.04893395,276.6397905,38852.26766,2.727662642,239.6379923,865.1162888,1680.445324,97.27233736,413.5055832,3416.619592,7.975727486,7902.608957,1.282792917,29.8369568,284.4159673,39942.93428,28.04247096,246.3663836,889.2510165,1728.398276,425.1231086,3515.014331,8.208992679,8124.968708,1.318758432,1100.131375,10131.32387,1424641.117,8784.700048,31875.45965,60644.72772,35.7050215,15150.5799,122165.0763,280.7164078,289125.0329,47.09472062
45,3.520812283,0.088507826,-0.812727699,0.163040507,68.25201535,14.84450265,16.903482,6.395659241,5.960299568,6.821450888,6.02,0.03,6.4,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.826839202,0.07776744,-0.250331882,0.270036653,58.83593407,18.45837414,22.70569179,6.593033377,6.224114015,6.986823613,,,,,,,9.991050871,283.2140743,41307.58697,3.541258344,226.7680698,609.5317643,1499.607841,96.45874166,484.025558,3273.384615,7.914503839,6843.86878,1.157681072,10.35179264,293.6364173,42825.97358,36.71381483,235.1337135,631.5569378,1555.567371,501.8317675,3396.44145,8.216072919,7095.91463,1.200193927,286.715395,7986.294457,1166070.415,6378.904366,17478.6286,41722.81701,27.2612503,13653.01677,90409.99253,215.6570324,192846.5317,32.71014673
