DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
3,2.756707177,0.052840684,-0.855834117,0.068536804
6,2.662351161,0.054771286,-0.747771803,0.064017789
10,2.695870548,0.048045979,-0.698412637,0.050500024
15,2.685535757,0.040517671,-0.564291521,0.10970917
20,2.793306859,0.029392638,-0.669573662,0.12771757
25,2.82287739,0.047000488,-0.573043761,0.041524044
30,2.814516685,0.062260926,-0.49792647,0.077183495
40,3.006667326,0.108563849,-0.372631218,0.172284474
45,3.144959883,0.108152828,-0.302325722,0.15301841
