DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰)
2,3.226732514,0.086189235,-0.653024274,0.107821732
10,3.245652497,0.107048087,-0.761877895,0.182544321
12,3.332410773,0.100717161,-0.459150174,0.156127015
20,3.077845862,0.052147913,-0.927011616,0.11202572
24,3.035012331,0.069622496,-0.677994512,0.126550364
25,3.037443407,0.063699527,-0.423940468,0.17184895
30,2.87273316,0.061553937,-0.628842126,0.070603888
35,2.890270691,0.026957149,-0.703333898,0.081926486
40,2.802380148,0.047488008,-0.673980232,0.138536622
45,2.758265176,0.043132106,-0.689729049,0.163587702
50,3.033568152,0.065641861,-0.541261091,0.246514302
55,3.381369169,0.048394954,-0.446771717,0.160615914
60,3.21962164,0.036946951,-0.650256578,0.079084517
65,2.173783851,0.066841484,-0.541133798,0.178251779
70,1.81833377,0.040506503,-0.152627979,0.08686201
73,1.798807624,0.031310108,0.204447702,0.145027543
